Actor,Character,SEID
Jerry Seinfeld,Jerry Seinfeld,S01E00
Jason Alexander,George Costanza,S01E00
Michael Richards,Kessler,S01E00
Lee Garlington,Claire,S01E00
Pamela Brull,Laura,S01E00
Jerry Seinfeld,Jerry Seinfeld,S01E01
Jason Alexander,George Costanza,S01E01
Julia Louis-Dreyfus,Elaine Benes,S01E01
Michael Richards,Kramer,S01E01
Lynn Clark,Vanessa,S01E01
Phil Bruns,Morty Seinfeld,S01E01
Liz Sheridan,Helen Seinfeld,S01E01
Maud Winchester,Pamela,S01E01
William Fair,Roger,S01E01
Ron Steelman,Artie Levine,S01E01
Joe George,Uncle Mac,S01E01
Ellen Gerstein,Carol,S01E01
Janet Rotblatt,Woman,S01E01
Jerry Seinfeld,Jerry Seinfeld,S01E02
Jason Alexander,George Costanza,S01E02
Julia Louis-Dreyfus,Elaine Benes,S01E02
Michael Richards,Kramer,S01E02
Anita Wise,Waitress,S01E02
James F. Dean,Larry,S01E02
Kimberley Kates,Diane,S01E02
Bradford English,Cop,S01E02
David Blackwood,Man #1,S01E02
George Simms,Man #2,S01E02
Jerry Seinfeld,Jerry Seinfeld,S01E03
Jason Alexander,George Costanza,S01E03
Julia Louis-Dreyfus,Elaine Benes,S01E03
Michael Richards,Kramer,S01E03
Kevin Dunn,Joel,S01E03
Anita Wise,Waitress,S01E03
Frank Piazza,Customer,S01E03
Kimberley LaMarque,Teller,S01E03
Jerry Seinfeld,Jerry Seinfeld,S01E04
Jason Alexander,George Costanza,S01E04
Julia Louis-Dreyfus,Elaine Benes,S01E04
Michael Richards,Kramer,S01E04
Lynn Clark,Vanessa,S01E04
Ted Davis,Dry Cleaner,S01E04
Jill C. Klein,Waitress,S01E04
Benjamin Lum,Stock Boy,S01E04
Jerry Seinfeld,Jerry Seinfeld,S02E01
Jason Alexander,George Costanza,S02E01
Julia Louis-Dreyfus,Elaine Benes,S02E01
Michael Richards,Kramer,S02E01
Tracy Kolis,Marlene,S02E01
Karen Barcus,Receptionist,S02E01
Jerry Seinfeld,Jerry Seinfeld,S02E02
Jason Alexander,George Costanza,S02E02
Julia Louis-Dreyfus,Elaine Benes,S02E02
Michael Richards,Kramer,S02E02
Rozsika Halmos,Manya,S02E02
David Fresco,Isaac,S02E02
Scott N. Stevens,Intern,S02E02
Earl Boen,Eulogist,S02E02
Liz Sheridan,Helen Seinfeld,S02E02
Morty Seinfeld,Barney Martin,S02E02
Len Lesser,Uncle Leo,S02E02
Jerry Seinfeld,Jerry Seinfeld,S02E03
Jason Alexander,George Costanza,S02E03
Julia Louis-Dreyfus,Elaine Benes,S02E03
Michael Richards,Kramer,S02E03
Lawrence Tierney,Alton Benes,S02E03
Frantz Turner,Salesman,S02E03
Susanne Spoke,Customer,S02E03
Harry Hart-Browne,Manager,S02E03
Jerry Seinfeld,Jerry Seinfeld,S02E04
Jason Alexander,George Costanza,S02E04
Julia Louis-Dreyfus,Elaine Benes,S02E04
Michael Richards,Kramer,S02E04
Tory Polone,Carol,S02E04
Gretchen German,Donn,S02E04
Jerry Seinfeld,Jerry Seinfeld,S02E05
Jason Alexander,George Costanza,S02E05
Julia Louis-Dreyfus,Elaine Benes,S02E05
Michael Richards,Kramer,S02E05
Tony Plana,Manny,S02E05
Glenn Shadix,Harold,S02E05
Jeanine Jackson,Roxanne,S02E05
Leslie Neale,Rita,S02E05
Theresa Randle,Janice,S02E05
Patricia Amaye Thomson,Susie,S02E05
Melody Ryane,Joanne,S02E05
David Blackwood,Stan,S02E05
Jerry Seinfeld,Jerry Seinfeld,S02E06
Jason Alexander,George Costanza,S02E06
Julia Louis-Dreyfus,Elaine Benes,S02E06
Michael Richards,Kramer,S02E06
Michael D. Conway,Ray,S02E06
Nurit Koppel,Rava,S02E06
Jerry Seinfeld,Jerry Seinfeld,S02E07
Jason Alexander,George Costanza,S02E07
Julia Louis-Dreyfus,Elaine Benes,S02E07
Michael Richards,Kramer,S02E07
Fred Applegate,Levitan,S02E07
John Capodice,Vic,S02E07
Teri Austin,Ava,S02E07
Patrika Darbo,Glenda,S02E07
Marcus Smythe,Dan,S02E07
John Hillner,Greeny,S02E07
Deck McKenzie,Bill,S02E07
Larry David,Voice of Newman (uncredited),S02E07
Newman,(uncredited voice only in syndicated reruns (see note),S02E07
Jerry Seinfeld,Jerry Seinfeld,S02E08
Jason Alexander,George Costanza,S02E08
Julia Louis-Dreyfus,Elaine Benes,S02E08
Michael Richards,Kramer,S02E08
Stephen Tobolowsky,Tor,S02E08
John Posey,Dr Fein,S02E08
John Fleck,Attendant,S02E08
Jimmy Woodward,Driver,S02E08
Pat Hazell,Man in Other Bed,S02E08
Sharon McKnight,The Nurse,S02E08
Thomas Wagner,The Cook,S02E08
Heather James,The Waitress,S02E08
Jerry Seinfeld,Jerry Seinfeld,S02E09
Jason Alexander,George Costanza,S02E09
Julia Louis-Dreyfus,Elaine Benes,S02E09
Michael Richards,Kramer,S02E09
Siobhan Fallon,Tina,S02E09
Norman Brenner,Clerk,S02E09
Jerry Seinfeld,Jerry Seinfeld,S02E10
Jason Alexander,George Costanza,S02E10
Julia Louis-Dreyfus,Elaine Benes,S02E10
Michael Richards,Kramer,S02E10
Christine Dunford,Leslie,S02E10
Vic Polizos,Tabachnik,S02E10
James Lashly,Assistant,S02E10
Margaret Reed,Mary,S02E10
George C. Simms,FBI Man,S02E10
Marla Fries,Stewardess,S02E10
Don Perry,Passenger,S02E10
Kate Mulligan,Party Guest,S02E10
Audrey Frantz,Party Guest,S02E10
Jerry Seinfeld,Jerry Seinfeld,S02E11
Jason Alexander,George Costanza,S02E11
Julia Louis-Dreyfus,Elaine Benes,S02E11
James Hong,Bruce,S02E11
David Tress,Mr Cohen,S02E11
Judy Kain,Lorraine,S02E11
Kate Benton,Woman on Phone,S02E11
Michael Mitz,Phone Guy,S02E11
Kendall McCarthy,Man,S02E11
Jerry Seinfeld,Jerry Seinfeld,S02E12
Jason Alexander,George Costanza,S02E12
Julia Louis-Dreyfus,Elaine Benes,S02E12
Michael Richards,CKramer,S02E12
David Labiosa,Antonio,S02E12
Doug Ballard,Eddie,S02E12
John Del Regno,Manager,S02E12
Jerry Seinfeld,Jerry Seinfeld,S03E01
Jason Alexander,George Costanza,S03E01
Julia Louis-Dreyfus,Elaine Benes,S03E01
Michael Richards,Cosmo Kramer,S03E01
Ralph Bruneau,Lloyd,S03E01
Terri Hanauer,Julianna,S03E01
Jeff Lester,Raymond,S03E01
Flo Di Re,Receptionist,S03E01
Liz Georges,Pam,S03E01
Paul Rogers,Man in Waiting Room,S03E01
Dale Raoul,Dental Patient,S03E01
Joshua Liebling,Billy,S03E01
Jerry Seinfeld,Jerry Seinfeld,S03E02
Jason Alexander,George Costanza,S03E02
Julia Louis-Dreyfus,Elaine Benes,S03E02
Michael Richards,Kramer,S03E02
Valerie Mahaffey,Patrice,S03E02
Siobhan Fallon,Tina,S03E02
Jerry Seinfeld,Jerry Seinfeld,S03E03
Jason Alexander,George Costanza,S03E03
Julia Louis-Dreyfus,Elaine Benes,S03E03
Michael Richards,Kramer,S03E03
Ann Morgan Guilbert,Evelyn,S03E03
Annie Korzen,Doris Klompus,S03E03
Magda Harout,Stella,S03E03
Roger Nolan,The Chiropractor,S03E03
Tucker Smallwood,The Photographer,S03E03
Jerry Seinfeld,Jerry Seinfeld,S03E04
Jason Alexander,George Costanza,S03E04
Julia Louis-Dreyfus,Elaine Benes,S03E04
Michael Richards,Kramer,S03E04
Joseph Maher,Gavin,S03E04
Tom Williams,Bark of the Dog,S03E04
Marvin Wright-Bey,Attendant #1,S03E04
Kelly Wellman,Attendant #2,S03E04
Jerry Seinfeld,Jerry Seinfeld,S03E05
Jason Alexander,George Costanza,S03E05
Julia Louis-Dreyfus,Elaine Benes,S03E05
Michael Richards,Kramer,S03E05
Philip Baker Hall,Lt Bookman,S03E05
Ashley Gardener,Marion,S03E05
Harris Shore,Mr Lippman,S03E05
Cynthia Szigeti,Sandy,S03E05
Biff Yeager,Heyman,S03E05
Neal Lerner,"The ""Shusher""",S03E05
Marie Barrientos,The Receptionist,S03E05
Jerry Seinfeld,Jerry Seinfeld,S03E06
Jason Alexander,George Costanza,S03E06
Julia Louis-Dreyfus,Elaine Benes,S03E06
Michael Richards,Kramer,S03E06
David Dunard,Security Guard,S03E06
Cynthia Ettinger,Michele,S03E06
Gregory Daniel,Man in Corvette,S03E06
Carlyle King,The Mother,S03E06
Adam Wylie,The Kid,S03E06
Joe Farago,Man With Woman,S03E06
Ron Evans,Bodybuilder,S03E06
Tucker Smallwood,Man in Mercedes,S03E06
Jerry Seinfeld,Jerry Seinfeld,S03E07
Jason Alexander,George Costanza,S03E07
Julia Louis-Dreyfus,Elaine Benes,S03E07
Michael Richards,Kramer,S03E07
Brian George,Babu Bhatt,S03E07
Dawn Arnemann,Monica,S03E07
Jerry Seinfeld,Jerry Seinfeld,S03E08
Jason Alexander,George Costanza,S03E08
Julia Louis-Dreyfus,Elaine Benes,S03E08
Michael Richards,Kramer,S03E08
John Apicella,Repairman,S03E08
Ping Wu,Delivery Boy (Ping),S03E08
Norman Brenner,Beder,S03E08
Jerry Seinfeld,Jerry Seinfeld,S03E09
Jason Alexander,George Costanza,S03E09
Julia Louis-Dreyfus,Elaine Benes,S03E09
Michael Richards,Kramer,S03E09
Susan Diol,Audrey,S03E09
Roy Brocksmith,Landlord,S03E09
Tawny Kitaen,Isabel,S03E09
Joseph V. Perry,Newsstand Owner,S03E09
David Blackwood,Interviewer,S03E09
Jerry Seinfeld,Jerry Seinfeld,S03E10
Jason Alexander,George Costanza,S03E10
Julia Louis-Dreyfus,Elaine Benes,S03E10
Michael Richards,Kramer,S03E10
Michael Chiklis,Steve,S03E10
Teri Austin,Ava,S03E10
Bobbi Jo Lathan,Patti,S03E10
Gwen Shepherd,Cashier,S03E10
Dwayne Kennedy,Frank,S03E10
Marcia Firesten,Jenny,S03E10
Michael Milhoan,Security Guard,S03E10
John Putch,Roy,S03E10
Melissa Weil,Gwen,S03E10
Ellen Ratner,Ellen,S03E10
Frank Piazza,Cop,S03E10
Jerry Seinfeld,Jerry Seinfeld,S03E11
Jason Alexander,George Costanza,S03E11
Julia Louis-Dreyfus,Elaine Benes,S03E11
Michael Richards,Kramer,S03E11
Jay Brooks,Sid,S03E11
Janet Zarish,Rental Car Agent,S03E11
Edward Penn,Owen March,S03E11
Jeff Barton,Paramedic,S03E11
Jerry Seinfeld,Jerry Seinfeld,S03E12
Jason Alexander,George Costanza,S03E12
Julia Louis-Dreyfus,Elaine Benes,S03E12
Michael Richards,Kramer,S03E12
David Naughton,Dick,S03E12
Bridget Sienna,Evie (Cleaning Woman),S03E12
Rachel Davies,Saleswoman,S03E12
Richard Fancy,Mr Lippman,S03E12
Jerry Seinfeld,Jerry Seinfeld,S03E13
Jason Alexander,George Costanza,S03E13
Julia Louis-Dreyfus,Elaine Benes,S03E13
Michael Richards,Kramer,S03E13
Ernie Sabella,Naked Man,S03E13
Barbara Stock,Scam Woman,S03E13
Rhoda Gemignani,Woman with Elaine,S03E13
Mark Boone Junior,OTB Patron,S03E13
Christopher Collins,Thug,S03E13
Barry Vigon,Player #1,S03E13
Joe Restivo,Player #2,S03E13
Daryl Roach,Violinist/Cop,S03E13
Chet Nelson,Kid,S03E13
Jerry Seinfeld,Jerry Seinfeld,S03E14
Jason Alexander,George Costanza,S03E14
Julia Louis-Dreyfus,Elaine Benes,S03E14
Michael Richards,Kramer,S03E14
Elizabeth Morehead,Noel,S03E14
Fred Sanders,John,S03E14
Bill Applebaum,D'Giff,S03E14
Allen Bloomfield,Polar Bear,S03E14
Chris Barnes,Richie,S03E14
Steve Kehela,Intervenor,S03E14
Kate Benton,Roberta,S03E14
Jerry Seinfeld,Jerry Seinfeld,S03E15
Jason Alexander,George Costanza,S03E15
Julia Louis-Dreyfus,Elaine Benes,S03E15
Michael Richards,Kramer,S03E15
Gina Gallego,Gina,S03E15
Mimi Lieber,Rula,S03E15
C.E. Grimes,Martin,S03E15
Howard Schecter,Doctor,S03E15
Aimee Aro,Faithy,S03E15
Peggy Lane O'Rourke,Nurse,S03E15
Wayne Knight,Newman,S03E15
Jerry Seinfeld,Jerry Seinfeld,S03E16
Jason Alexander,George Costanza,S03E16
Julia Louis-Dreyfus,Elaine Benes,S03E16
Michael Richards,Kramer,S03E16
Maggie Jakobson,Cynthia,S03E16
Jerry Seinfeld,Jerry Seinfeld,S03E17
Jason Alexander,George Costanza,S03E17
Julia Louis-Dreyfus,Elaine Benes,S03E17
Michael Richards,Kramer,S03E17
Keith Hernandez,Himself,S03E17
Rae Allen,Mrs (Lenore) Sokol,S03E17
Richard Assad,Cabbie,S03E17
Wayne Knight,Newman,S03E17
Jerry Seinfeld,Jerry Seinfeld,S03E18
Jason Alexander,George Costanza,S03E18
Julia Louis-Dreyfus,Elaine Benes,S03E18
Michael Richards,Kramer,S03E18
Keith Hernandez,Himself,S03E18
Rae Allen,Mrs (Lenore) Sokol,S03E18
Carol Ann Susi,Carrie,S03E18
Lisa Mende,Carol,S03E18
Roger McDowell,Himself,S03E18
Stephen Prutting,Michael,S03E18
Richard Assad,Cabbie,S03E18
Melanie Good,Woman,S03E18
Wayne Knight,Newman,S03E18
Jerry Seinfeld,Jerry Seinfeld,S03E19
Jason Alexander,George Costanza,S03E19
Julia Louis-Dreyfus,Elaine Benes,S03E19
Michael Richards,Kramer,S03E19
Peter Krause,Tim,S03E19
Suzanne Snyder,Eva,S03E19
Jeremy Roberts,Chauffeur,S03E19
Jodi Baskerville,Herself,S03E19
I.M. Hobson,Businessman,S03E19
Harley Venton,Dan,S03E19
Adam Leslie,Man at Protest,S03E19
Norman Brenner,Man at Airport,S03E19
Aaron Kanarek,Protester #1,S03E19
Ray Glanzmann,Protester #2,S03E19
Jerry Seinfeld,Jerry Seinfeld,S03E20
Jason Alexander,George Costanza,S03E20
Julia Louis-Dreyfus,Elaine Benes,S03E20
Michael Richards,Kramer,S03E20
Melinda McGraw,Angela,S03E20
Ann Talman,Robin,S03E20
Joseph Malone,Michael,S03E20
Helen Slater,Becky Gelke (uncredited),S03E20
Jerry Seinfeld,Jerry Seinfeld,S03E21
Jason Alexander,George Costanza,S03E21
Julia Louis-Dreyfus,Elaine Benes,S03E21
Michael Richards,Kramer,S03E21
Catherine Keener,Nina,S03E21
Richard Venture,Leonard West,S03E21
Elliott Reid,Mr Armstrong,S03E21
Justine Johnston,Mrs Armstrong,S03E21
Shashawnee Hall,Usher,S03E21
Richard Fancy,Mr Lippman,S03E21
Jerry Seinfeld,Jerry Seinfeld,S03E22
Jason Alexander,George Costanza,S03E22
Julia Louis-Dreyfus,Elaine Benes,S03E22
Michael Richards,Kramer,S03E22
Lee Arenberg,Mike Moffit,S03E22
Jay Brooks,Sid,S03E22
Maryedith Burrell,Maryedith,S03E22
Shannon Cochran,Sheila,S03E22
Zachary Charles,Angry Man,S03E22
Michael A. Costanza,Truck Driver,S03E22
Mik Scriba,Cop #1,S03E22
Stan Sellers,Cop #2,S03E22
John Christian Graas,Matthew,S03E22
Peggy Lane O'Rourke,Bystander #1,S03E22
Steven Marcus Gibbs,Bystander #2,S03E22
Wayne Knight,Newman,S03E22
Jerry Seinfeld,Jerry Seinfeld,S03E23
Jason Alexander,George Costanza,S03E23
Julia Louis-Dreyfus,Elaine Benes,S03E23
Michael Richards,Kramer,S03E23
Nina Tremblay,Jerry's Girlfriend,S03E23
Eric Allan Kramer,Biker,S03E23
Ricky Dean Logan,Hippie #1,S03E23
Sharon Barr,Trucker,S03E23
Maud Winchester,Hippie #2,S03E23
Heather James,Waitress,S03E23
Carissa Channing,Kramer's Girlfriend,S03E23
Candice Bergen,Herself (as Murphy Brown),S03E23
Wayne Knight,Newman,S03E23
Jerry Seinfeld,Jerry Seinfeld,S04E01
Jason Alexander,George Costanza,S04E01
Julia Louis-Dreyfus,Elaine Benes,S04E01
Michael Richards,Kramer,S04E01
Peter Murnik,Lt Martel,S04E01
Elmarie Wendel,Helene,S04E01
Debi A. Monahan,Chelsea,S04E01
Ricky Dean Logan,The Freak,S04E01
Vaughn Armstrong,Lt Coleman,S04E01
Keith Morrison,Newscaster (Himself),S04E01
Manfred Melcher,Officer,S04E01
Christopher Michael Moore,Studio Guard,S04E01
Dyana Ortelli,Chambermaid (Lupe),S04E01
Michael Gerard,Receptionist,S04E01
Fred Savage,(Himself),S04E01
George Wendt,(Himself),S04E01
Corbin Bernsen,(Himself),S04E01
Jerry Seinfeld,Jerry Seinfeld,S04E02
Jason Alexander,George Costanza,S04E02
Julia Louis-Dreyfus,Elaine Benes,S04E02
Michael Richards,Kramer,S04E02
Peter Murnik,Lt Martel,S04E02
Elmarie Wendel,Helene,S04E02
Marty Rackham,Officer #1,S04E02
Peter Parros,Officer #2,S04E02
Vaughn Armstrong,Lt Coleman,S04E02
Clint Howard,Tobias Lehigh Nagy,S04E02
Steve Greenstein,Man,S04E02
Kerry Leigh Michaels,Woman,S04E02
Keith Morrison,Newscaster (Himself),S04E02
Peggy Lane O'Rourke,Reporter #1,S04E02
Deck McKenzie,Reporter #2,S04E02
Steve Dougherty,Prison Guard,S04E02
Jerry Seinfeld,Jerry Seinfeld,S04E03
Jason Alexander,George Costanza,S04E03
Julia Louis-Dreyfus,Elaine Benes,S04E03
Michael Richards,Kramer,S04E03
Kevin Page,Stu,S04E03
Stephen McHattie,Psychiatrist (Dr Reston),S04E03
Peter Blood,Jay,S04E03
Julie Blum,Receptionist,S04E03
Steve Skrovan,Tommy,S04E03
Ron Ross,Homeless Man,S04E03
Wayne Knight,Newman,S04E03
Bob Balaban,Russell Dalrimple,S04E03
Heidi Swedberg,Susan Biddle Ross,S04E03
Peter Crombie,"Crazy"" Joe Davola?",S04E03
Jerry Seinfeld,Jerry Seinfeld,S04E04
Jason Alexander,George Costanza,S04E04
Julia Louis-Dreyfus,Elaine Benes,S04E04
Michael Richards,Kramer,S04E04
Kevin Page,Stu,S04E04
Steve Eastin,Cop #1,S04E04
David Graf,Cop #2,S04E04
Al Fann,Judge,S04E04
Stephen McHattie,Psychiatrist (Dr Reston),S04E04
Peter Blood,Jay,S04E04
Julie Blum,Receptionist,S04E04
Wayne Knight,Newman,S04E04
Bob Balaban,Russell Dalrimple,S04E04
Heidi Swedberg,Susan Biddle Ross,S04E04
Len Lesser,Uncle Leo,S04E04
Jerry Seinfeld,Jerry Seinfeld,S04E05
Jason Alexander,George Costanza,S04E05
Julia Louis-Dreyfus,Elaine Benes,S04E05
Michael Richards,Kramer,S04E05
Stephen McHattie,Dr Reston,S04E05
David Sage,Dr Dembrow,S04E05
Susan Ilene Johnson,Nurse,S04E05
Denise Dowse,Receptionist,S04E05
Brian Leckner,Attendant,S04E05
Liz Sheridan,Helen Seinfeld,S04E05
Barney Martin,Morty Seinfeld,S04E05
Len Lesser,Uncle Leo,S04E05
Heidi Swedberg,Susan Biddle Ross,S04E05
Jerry Seinfeld,Jerry Seinfeld,S04E06
Jason Alexander,George Costanza,S04E06
Julia Louis-Dreyfus,Elaine Benes,S04E06
Michael Richards,Kramer,S04E06
Stephen McHattie,Dr Reston,S04E06
Jessica Lundy,Naomi,S04E06
Christopher Carroll,Maitre d',S04E06
Lewis Dauber,Doorman,S04E06
Mimi Craven,Cynthia,S04E06
Barney Martin,Morty Seinfeld,S04E06
Liz Sheridan,Helen Seinfeld,S04E06
Bob Balaban,Russell Dalrimple,S04E06
Len Lesser,Uncle Leo,S04E06
Heidi Swedberg,Susan Biddle Ross,S04E06
Peter Crombie,"Crazy"" Joe Davola?",S04E06
Jerry Seinfeld,Jerry Seinfeld,S04E07
Jason Alexander,George Costanza,S04E07
Julia Louis-Dreyfus,Elaine Benes,S04E07
Michael Richards,Kramer,S04E07
Jessica Lundy,Naomi,S04E07
Brian Doyle-Murray,Mel,S04E07
Carol Mansell,Mother,S04E07
O-lan Jones,Waitress,S04E07
Jon Hayman,Voice and Arm of Donald (The Bubble Boy),S04E07
George Gerdes,Man #1,S04E07
Tony Pappenfuss,Man #2,S04E07
Heidi Swedberg,Susan Biddle Ross,S04E07
Jerry Seinfeld,Jerry Seinfeld,S04E08
Jason Alexander,George Costanza,S04E08
Julia Louis-Dreyfus,Elaine Benes,S04E08
Michael Richards,Kramer,S04E08
Warren Frost,Mr Henry Ross,S04E08
Grace Zabriskie,Mrs Ross,S04E08
Lisa Malkiewicz,Sandra,S04E08
Miguel Perez,Luis,S04E08
Vanessa Marquez,Receptionist,S04E08
Timothy Omundson,Ricky Ross,S04E08
Patricia Lee Willson,Sara Ross,S04E08
David Blackwood,Doorman,S04E08
Heidi Swedberg,Susan Biddle Ross,S04E08
Jerry Seinfeld,Jerry Seinfeld,S04E09
Jason Alexander,George Costanza,S04E09
Julia Louis-Dreyfus,Elaine Benes,S04E09
Michael Richards,Kramer,S04E09
Ross Evans,Mr Reichman,S04E09
Hariet S. Miller,Mrs Reichman,S04E09
Bill Saluga,Usher,S04E09
Tom Celli,Man #1,S04E09
Jason Wingreen,Man #2,S04E09
Glen Chin,Man #3,S04E09
Peter Crombie,"Crazy"" Joe Davola",S04E09
Heidi Swedberg,Susan Biddle Ross,S04E09
Jerry Seinfeld,Jerry Seinfeld,S04E10
Jason Alexander,George Costanza,S04E10
Julia Louis-Dreyfus,Elaine Benes,S04E10
Michael Richards,Kramer,S04E10
Anne Twomey,Rita,S04E10
Jane Leeves,Marla (The Virgin),S04E10
Kevin Page,Stu,S04E10
Ping Wu,Ping,S04E10
Leah Lail,Stacy,S04E10
Peter Blood,Jay,S04E10
Derya Ruggles,Woman in Bar,S04E10
Dayna Winston,Carol,S04E10
Julie Blum,Receptionist,S04E10
Heidi Swedberg,Susan Biddle Ross,S04E10
Jerry Seinfeld,Jerry Seinfeld,S04E11
Jason Alexander,George Costanza,S04E11
Julia Louis-Dreyfus,Elaine Benes,S04E11
Michael Richards,Kramer,S04E11
Jane Leeves,Marla,S04E11
Ilana Levine,Joyce,S04E11
Rachel Sweet,Shelly,S04E11
Andrea Parker,Nurse,S04E11
Estelle Harris,Estelle Costanza,S04E11
Jerry Seinfeld,Jerry Seinfeld,S04E12
Jason Alexander,George Costanza,S04E12
Julia Louis-Dreyfus,Elaine Benes,S04E12
Michael Richards,Kramer,S04E12
Jennifer Campbell,Tia,S04E12
Scott Burkholder,Prisoner,S04E12
Jim J. Bullock,Attendant #1,S04E12
Allan Wasserman,Grossbard,S04E12
Lenny Rose,Passenger #1,S04E12
Karen Denise Williams,Attendant #2,S04E12
Annie Korzen,Passenger #2,S04E12
Deck McKenzie,Security Guard,S04E12
Maggie Egan,Ticket Clerk,S04E12
Mark Christopher Lawrence,Sky Cap,S04E12
Jack Graiman,Cop,S04E12
William Evan Masters,Driver,S04E12
Jerry Seinfeld,Jerry Seinfeld,S04E13
Jason Alexander,George Costanza,S04E13
Julia Louis-Dreyfus,Elaine Benes,S04E13
Michael Richards,Kramer,S04E13
Jennifer Campbell,Tia,S04E13
Gina Hecht,Dana Foley,S04E13
Nicholas Hormann,Calvin Klein,S04E13
Tony Carlin,Fred,S04E13
Francois Giroday,Male Executive,S04E13
Blaire Baron,Female Executive,S04E13
Steve Schubert,Man in Office,S04E13
Heidi Swedberg,Susan Biddle Ross,S04E13
Wayne Knight,Newman,S04E13
Jerry Seinfeld,Jerry Seinfeld,S04E14
Jason Alexander,George Costanza,S04E14
Julia Louis-Dreyfus,Elaine Benes,S04E14
Michael Richards,Kramer,S04E14
Barry Diamond,Buckles,S04E14
Perry Anzilotti,Usher,S04E14
Tom La Grua,Kernis,S04E14
Eric Poppick,Maurice,S04E14
Cathy Lind Hayes,Woman Behind Elaine,S04E14
Allan Kolman,Cab Driver,S04E14
Molly Cleator,Cashier,S04E14
Christie Mellor,Concessionaire,S04E14
Jeff Norman,Man in Line,S04E14
Paul Eisenhauer,Man in Theatre,S04E14
Montrose Hagins,Woman in Theatre,S04E14
Jerry Seinfeld,Jerry Seinfeld,S04E15
Jason Alexander,George Costanza,S04E15
Julia Louis-Dreyfus,Elaine Benes,S04E15
Michael Richards,Kramer,S04E15
Brian George,Babu Bhatt,S04E15
Maggie Han,Cheryl,S04E15
Ping Wu,Ping,S04E15
John Hamelin,Babu's Brother,S04E15
Gerry Bednob,Babu's Friend,S04E15
Jerry Seinfeld,Jerry Seinfeld,S04E16
Jason Alexander,George Costanza,S04E16
Julia Louis-Dreyfus,Elaine Benes,S04E16
Michael Richards,Kramer,S04E16
Gina Hecht,Dana (Foley),S04E16
Anita Barone,Gail Cunningham,S04E16
Michael Ornstein,Waiter,S04E16
Denise Lee Richards,Molly,S04E16
Bob Balaban,Russell Dalrimple,S04E16
Jerry Seinfeld,Jerry Seinfeld,S04E17
Jason Alexander,George Costanza,S04E17
Julia Louis-Dreyfus,Elaine Benes,S04E17
Michael Richards,Kramer,S04E17
Paula Marshall,Sharon,S04E17
Kari Coleman,Allison,S04E17
Anthony Mangano,Sailor,S04E17
Ben Reed,Male Nurse,S04E17
Lawrence A. Mandley,Manager,S04E17
Charley Garrett,Man #1,S04E17
Deck McKenzie,Scott,S04E17
David Gibbs,Man #2,S04E17
Liz Sheridan,Helen Seinfeld,S04E17
Barney Martin,Morty Seinfeld,S04E17
Estelle Harris,Estelle Costanza,S04E17
Jerry Seinfeld,Jerry Seinfeld,S04E18
Jason Alexander,George Costanza,S04E18
Julia Louis-Dreyfus,Elaine Benes,S04E18
Michael Richards,Kramer,S04E18
Bill Erwin,Sid,S04E18
Tobin Bell,Ron,S04E18
Robert Donley,Ben,S04E18
Lanei Chapman,Housekeeper,S04E18
Victoria Dillard,Agency Rep,S04E18
Jerry Hauck,Tim,S04E18
Wayne Knight,Newman,S04E18
Jerry Seinfeld,Jerry Seinfeld,S04E19
Jason Alexander,George Costanza,S04E19
Julia Louis-Dreyfus,Elaine Benes,S04E19
Michael Richards,Kramer,S04E19
Teri Hatcher,Sidra,S04E19
Megan Mullally,Betsy,S04E19
Carol Rosenthal,Ticket Clerk #1,S04E19
Donald Bishop,Dr Allenwood,S04E19
Tony Amendola,Rushdie,S04E19
Kieran Mulroney,Timmy,S04E19
Peggy Stewart,Aunt May,S04E19
Bruce E. Morrow,Father Jessup,S04E19
Susan Beaubian,Ticket Clerk #2,S04E19
Jerry Seinfeld,Jerry Seinfeld,S04E20
Jason Alexander,George Costanza,S04E20
Julia Louis-Dreyfus,Elaine Benes,S04E20
Michael Richards,Kramer,S04E20
Susan Walters,Mystery Woman / Mulva (Delores),S04E20
Sherman Howard,Roy,S04E20
Victor Raider-Wexler,Doctor,S04E20
Jerry Seinfeld,Jerry Seinfeld,S04E21
Jason Alexander,George Costanza,S04E21
Julia Louis-Dreyfus,Elaine Benes,S04E21
Michael Richards,Kramer,S04E21
Michael Des Barres,Restaurateur,S04E21
Nick Bakay,Carl,S04E21
Kari Coleman,Allison,S04E21
Taylor Negron,Hairdresser,S04E21
Courtney Gains,Clerk,S04E21
Raf Mauro,Car Washer,S04E21
Viveka Davis,Mona,S04E21
Robert Noble,Salesman,S04E21
Patricia Place,Wife,S04E21
Walt Beaver,Husband,S04E21
Heidi Swedberg,Susan Biddle Ross,S04E21
Jerry Seinfeld,Jerry Seinfeld,S04E22
Jason Alexander,George Costanza,S04E22
Julia Louis-Dreyfus,Elaine Benes,S04E22
Michael Richards,Kramer,S04E22
John Randolph,Frank Costanza (see NOTE),S04E22
Richard Portnow,Ray,S04E22
Rick Overton,The Drake,S04E22
Nancy Lenehan,Volunteer,S04E22
Elizabeth Dennehy,Allison,S04E22
Kathy Kinney,Bystander,S04E22
Fritzi Burr,Maj-Jongg Lady #1,S04E22
Norma Janis,Maj-Jongg Lady #2,S04E22
Ina Parker,Maj-Jongg Lady #3,S04E22
Marvin Braverman,Cop,S04E22
